title,year,length,budget,rating,votes,mpaa,genre
"Peacemaker, The",1997,124,50,5.9,8994,R,Action
Pushing Tin,1999,119,33,5.9,7528,R,Comedy Drama
S.W.A.T.,2003,117,80,5.9,12732,PG-13,Action
Shark Tale,2004,90,75,5.9,7819,PG,Animated
"Siege, The",1998,116,70,5.9,9725,R,Action Drama
Stuart Little 2,2002,82,120,5.9,2324,PG,Comedy
"Texas Chainsaw Massacre, The",2003,98,9.2,5.9,9587,R,Action
Twister,1996,113,92,5.9,28315,PG-13,Action Drama
Walking Tall,2004,87,56,5.9,4839,PG-13,Action Drama
Wild in the Streets,1968,94,1,5.9,329,R,Drama
Windtalkers,2002,153,115,5.9,9081,R,Action Drama
Along Came Polly,2004,90,42,5.8,9785,PG-13,RomCom
America's Sweethearts,2001,102,48,5.8,11849,PG-13,RomCom
"Awfully Big Adventure, An",1995,112,4,5.8,608,R,Drama
"Beach, The",2000,119,50,5.8,15020,R,Drama
Bounce,2000,106,35,5.8,5390,PG-13,Romance Drama
Charlie's Angels,2000,94,92,5.8,25705,PG-13,Action Comedy
Cheaper by the Dozen,2003,98,40,5.8,5977,PG,Comedy Drama
"Confession, The",1999,114,4,5.8,519,R,Drama
Critical Care,1997,107,12,5.8,397,R,Comedy Drama
Dragonfly,2002,104,60,5.8,5431,PG-13,Drama
Duets,2000,112,15,5.8,2414,R,Comedy Drama
Eraser,1996,115,100,5.8,14641,R,Action Drama
Evolution,2001,101,80,5.8,14232,PG-13,Comedy
"Forgotten, The",2004,94,42,5.8,8234,PG-13,Drama
Freeze Frame,2004,99,2,5.8,189,R,Drama
Go Fish,1994,84,0.015,5.8,621,R,Romance Drama
Harriet the Spy,1996,100,13,5.8,845,PG,Comedy Drama
Impostor,2002,102,40,5.8,3292,R,Action Drama
Kansas City,1996,116,19,5.8,1077,R,Drama
Life,1999,108,75,5.8,4857,R,Comedy Drama
Mickey Blue Eyes,1999,102,40,5.8,7247,PG-13,RomCom
Mousehunt,1997,99,38,5.8,4637,PG,Action Comedy
Mrs. Winterbourne,1996,105,25,5.8,1310,PG-13,RomCom
Mystery Men,1999,121,68,5.8,13331,PG-13,Action Comedy
"Nutty Professor, The",1996,95,54,5.8,12273,PG-13,RomCom
Party Monster,2003,98,5,5.8,1976,R,Drama
Reign of Fire,2002,101,95,5.8,11452,PG-13,Action
"Replacement Killers, The",1998,87,30,5.8,6825,R,Action
Rock Star,2001,105,38,5.8,5100,R,Comedy Drama
Romeo Must Die,2000,115,25,5.8,10229,R,Action Drama
Sahara,2005,124,130,5.8,3004,PG-13,Action Comedy
Small Soldiers,1998,110,40,5.8,6938,PG-13,Action Comedy
Spy Kids 2: Island of Lost Dreams,2002,99,39,5.8,3175,PG,Action Comedy
Sugar Town,1999,92,0.25,5.8,307,R,Comedy
Sweet Home Alabama,2002,108,38,5.8,9943,PG-13,RomCom
Triggermen,2002,96,12,5.8,317,R,Comedy
Tromeo and Juliet,1996,108,0.35,5.8,1030,R,Comedy Drama
Two Can Play That Game,2001,93,6,5.8,843,R,RomCom
Two Weeks Notice,2002,101,60,5.8,15010,PG-13,RomCom
Van Wilder,2002,94,6,5.8,7799,R,Comedy
Very Bad Things,1998,100,10,5.8,10001,R,Comedy
Win a Date with Tad Hamilton!,2004,95,24,5.8,2933,PG-13,RomCom
Armageddon,1998,153,140,5.7,45330,PG-13,Action
Around the World in 80 Days,2004,120,110,5.7,3887,PG,Action Comedy
Assassins,1995,132,50,5.7,7354,R,Action
At First Sight,1999,128,40,5.7,3441,PG-13,Drama
Barbershop 2: Back in Business,2004,106,18,5.7,1580,PG-13,Comedy
"Big Hit, The",1998,91,13,5.7,6206,R,Action Comedy
Blade: Trinity,2004,124,65,5.7,7439,R,Action
Blue Crush,2002,104,30,5.7,4791,PG-13,Romance Drama
Bridget Jones: The Edge of Reason,2004,108,70,5.7,6636,R,RomCom
Broken Arrow,1996,108,65,5.7,14415,R,Action
Cafe Society,1995,104,3.5,5.7,137,R,Drama
Can't Be Heaven,2000,94,2,5.7,104,PG,RomCom
"Chamber, The",1996,113,50,5.7,2540,R,Drama
Chasing Liberty,2004,111,23,5.7,1911,PG-13,RomCom
Daddy Day Care,2003,92,60,5.7,3803,PG,Comedy
Daredevil,2003,133,75,5.7,20642,R,Action
Dead Man's Curve,1998,90,1,5.7,1241,R,Comedy Drama
"Devil's Own, The",1997,111,80,5.7,8485,R,Action Drama
Duplex,2003,89,40,5.7,4334,PG-13,Comedy
"Falls, The",2003,85,0.075,5.7,29,R,Drama
"Fast and the Furious, The",2001,106,38,5.7,21428,PG-13,Action
Get Over It,2001,87,10,5.7,3561,PG-13,RomCom
Global Heresy,2002,106,12,5.7,373,R,Drama
Gods and Generals,2003,209,56,5.7,3002,PG-13,Action Drama
Gone in Sixty Seconds,2000,117,90,5.7,25400,PG-13,Action
Grey Owl,1999,118,30,5.7,629,PG-13,Drama
HipHopBattle.com: Hip Hop 4 Life,2001,98,0.012,5.7,15,PG-13,RomCom
Hollywood North,2003,89,7,5.7,114,R,Comedy
How the Grinch Stole Christmas,2000,104,123,5.7,12680,PG,Comedy Drama
Last Man Standing,1996,101,67,5.7,6751,R,Action Drama
Laws of Attraction,2004,90,28,5.7,2349,PG-13,RomCom
Light It Up,1999,99,13,5.7,856,R,Drama
Lucky 13,2004,95,1.2,5.7,151,R,RomCom
"Mirror Has Two Faces, The",1996,122,42,5.7,2775,PG-13,RomCom
Mission: Impossible II,2000,123,125,5.7,35958,PG-13,Action
Mr 3000,2004,104,30,5.7,1459,PG-13,Comedy Drama
Multiplicity,1996,117,45,5.7,5241,PG-13,Comedy
Nadja,1994,93,1,5.7,781,R,Drama
Never Again,2001,98,0.5,5.7,309,R,RomCom
"Newton Boys, The",1998,113,27,5.7,2003,PG-13,Action Drama
One Night Stand,1997,102,24,5.7,1709,R,Drama
"Saint, The",1997,116,70,5.7,12591,PG-13,Action
She's So Lovely,1997,100,18,5.7,2280,R,RomCom
"Singles Ward, The",2002,102,0.5,5.7,291,PG,RomCom
Someone Like You...,2001,97,23,5.7,4249,PG-13,RomCom
Suspect Zero,2004,99,27,5.7,1310,R,Drama
"Taxman, The",1999,104,1,5.7,169,R,Action Comedy
"Triumph of Love, The",2001,112,5,5.7,423,PG-13,RomCom
Up Close & Personal,1996,124,60,5.7,3201,PG-13,Romance Drama
What a Girl Wants,2003,105,20,5.7,3533,PG,RomCom
Wisegirls,2002,96,11,5.7,792,R,Drama
100 Mile Rule,2002,98,1.1,5.6,181,R,Comedy
"24 Hour Woman, The",1999,93,2.5,5.6,149,R,Comedy
All the Pretty Horses,2000,116,45,5.6,3133,PG-13,Drama
Angel Eyes,2001,102,38,5.6,4829,R,Romance Drama
Bait,2000,119,35,5.6,1884,R,Action Comedy
"Banger Sisters, The",2002,98,10,5.6,3189,R,Comedy Drama
Beloved,1998,172,53,5.6,1934,R,Drama
"Borrowers, The",1997,89,29,5.6,1457,PG,Comedy
"Brady Bunch Movie, The",1995,90,12,5.6,4636,PG-13,Comedy
Bringing Down the House,2003,105,35,5.6,6501,PG-13,Comedy
Casper,1995,100,55,5.6,8798,PG,Comedy
Dante's Peak,1997,104,104,5.6,9203,PG-13,Action Drama
Deuce Bigalow: Male Gigolo,1999,88,18,5.6,9897,R,Comedy
Devil's Pond,2003,92,5,5.6,370,R,Drama
Double Whammy,2001,100,4,5.6,886,R,Comedy Drama
Eye for an Eye,1996,101,20,5.6,1843,R,Drama
Faithful,1996,91,13,5.6,414,R,Comedy
Father of the Bride Part II,1995,106,30,5.6,4089,PG,Comedy
First Knight,1995,134,75,5.6,8708,PG-13,Romance Drama
Garage Days,2002,106,6,5.6,597,R,Comedy Drama
Gojira ni-sen mireniamu,1999,99,1,5.6,1150,PG,Action
"Grave, The",1996,90,4,5.6,303,R,Comedy
Jefferson in Paris,1995,139,14,5.6,665,PG-13,Drama
Johnny English,2003,87,35,5.6,8125,PG,Action Comedy
Jurassic Park III,2001,92,93,5.6,20690,PG-13,Action
Kiss the Sky,1999,107,6,5.6,263,R,Romance Drama
Liberty Stands Still,2002,92,11,5.6,1560,R,Drama
"Little Vampire, The",2000,91,22,5.6,601,PG,Comedy
Mayerling,1968,140,5,5.6,154,PG-13,Romance Drama
Men in Black II,2002,88,140,5.6,21580,PG-13,Action Comedy
Mercury Rising,1998,108,60,5.6,8202,R,Action Drama
Monster-in-Law,2005,102,60,5.6,147,PG-13,RomCom
"Muse, The",1999,97,15,5.6,3513,PG-13,Comedy
"Net, The",1995,114,22,5.6,12201,PG-13,Action Drama
No Looking Back,1998,96,5,5.6,622,R,RomCom
Paparazzi,2004,84,20,5.6,2028,PG-13,Drama
Picture Perfect,1997,105,19,5.6,3019,PG-13,RomCom
Planet of the Apes,2001,119,100,5.6,28601,PG-13,Action
Repli-Kate,2002,121,4,5.6,791,R,Comedy
Resident Evil: Apocalypse,2004,94,50,5.6,10486,R,Action
"Stand-In, The",1999,100,0.4,5.6,42,PG,Drama
"Story of Us, The",1999,95,50,5.6,4953,R,RomCom
Teacher's Pet,2004,74,10,5.6,218,PG,Animated
Terror Tract,2000,96,11,5.6,281,R,Comedy
Undisputed,2002,96,20,5.6,1769,R,Action Drama
Vampires,1998,106,20,5.6,7908,R,Action
Vertical Limit,2000,124,75,5.6,10273,PG-13,Action
What Planet Are You From?,2000,104,50,5.6,2574,R,Comedy
Wicked Spring,2002,102,0.5,5.6,158,PG-13,Drama
Agent Cody Banks,2003,102,26,5.5,2655,PG,Action Comedy
Alexander,2004,175,150,5.5,11254,R,Drama
American Outlaws,2001,94,35,5.5,2878,PG-13,Action Comedy
Be Cool,2005,118,53,5.5,4560,PG-13,Comedy
Big Fat Liar,2002,88,15,5.5,2453,PG,Comedy
Blind Horizon,2003,99,5.1,5.5,801,R,Drama
"Cable Guy, The",1996,96,47,5.5,16266,PG-13,Comedy Drama
Changing Habits,1997,95,1.2,5.5,134,R,Comedy Drama
Charly,2002,103,0.95,5.5,149,PG,RomCom
Curdled,1996,88,2.309723,5.5,959,R,Comedy
Deep Blue Sea,1999,105,78,5.5,17666,R,Action
Dickie Roberts: Former Child Star,2003,98,17,5.5,2076,PG-13,Comedy
Divine Secrets of the Ya-Ya Sisterhood,2002,116,27,5.5,4288,PG-13,Comedy Drama
Eight Legged Freaks,2002,99,30,5.5,6362,PG-13,Action Comedy
Escanaba in da Moonlight,2001,91,1,5.5,373,PG-13,Comedy
Forever Lulu,2000,99,20,5.5,257,R,RomCom
George of the Jungle,1997,92,55,5.5,6430,PG,Comedy
Hard Rain,1998,97,70,5.5,6161,R,Action Drama
"House on Turk Street, The",2002,103,12,5.5,1048,R,Drama
How to Deal,2003,102,16,5.5,1537,PG-13,RomCom
Joe Somebody,2001,98,38,5.5,1937,PG,RomCom
Just the Ticket,1999,115,12,5.5,610,R,RomCom
Kama Sutra: A Tale of Love,1996,114,3,5.5,1491,R,Romance Drama
"Lost World: Jurassic Park, The",1997,129,73,5.5,28055,PG-13,Action
Mary Reilly,1996,108,47,5.5,2806,R,Drama
"Million Dollar Hotel, The",2000,122,8,5.5,4746,R,Drama
Molly,1999,102,21,5.5,610,PG-13,RomCom
Money Talks,1997,97,25,5.5,2720,R,Action Comedy
Mr. Deeds,2002,96,50,5.5,11729,PG-13,RomCom
Original Sin,2001,116,26,5.5,4592,R,Romance Drama
Reindeer Games,2000,124,36,5.5,7120,R,Action Drama
Saturn,1999,94,0.35,5.5,43,R,Drama
Scary Movie,2000,88,19,5.5,23293,R,Comedy
Shakes the Clown,1992,87,1.4,5.5,838,R,Comedy
She's All That,1999,95,10,5.5,13070,PG-13,RomCom
Showtime,2002,96,85,5.5,7689,PG-13,Action Comedy
Sweet November,2001,115,40,5.5,5458,PG-13,RomCom
"Time Machine, The",2002,96,80,5.5,12424,PG-13,Action
"Waterboy, The",1998,90,23,5.5,15539,PG-13,Comedy
xXx,2002,132,85,5.5,18514,PG-13,Action
200 Cigarettes,1999,101,6,5.4,4514,R,Comedy Drama
3000 Miles to Graceland,2001,125,62,5.4,7298,R,Action Comedy
40 Days and 40 Nights,2002,96,17,5.4,8609,R,RomCom
54,1998,100,13,5.4,6905,R,Drama
All About the Benjamins,2002,95,14,5.4,1250,R,Action Comedy
AVP: Alien Vs. Predator,2004,102,45,5.4,14651,PG-13,Action
Bad Company,2002,116,70,5.4,6175,PG-13,Action Comedy
Batman Forever,1995,122,100,5.4,24025,PG-13,Action
Bean,1997,90,22,5.4,9018,PG-13,Comedy
Beyond Borders,2003,127,35,5.4,1905,R,Romance Drama
"Big Brass Ring, The",1999,104,7,5.4,271,R,Drama
Cats & Dogs,2001,87,60,5.4,6487,PG,Comedy
Commandments,1997,88,5,5.4,468,R,RomCom
"Core, The",2003,135,74,5.4,7860,PG-13,Action Drama
Coyote Ugly,2000,100,45,5.4,13221,R,RomCom
Daylight,1996,110,80,5.4,6979,PG-13,Action Drama
Dead Man on Campus,1998,96,14,5.4,2829,R,Comedy
Deep Rising,1998,97,45,5.4,4626,R,Action
Doctor Dolittle,1998,85,71.5,5.4,8287,PG-13,Comedy
Domestic Disturbance,2001,91,53,5.4,4445,PG-13,Drama
Drowning Mona,2000,95,16,5.4,3454,PG-13,Comedy
"End of Violence, The",1997,122,5,5.4,1575,R,Drama
Gun Shy,2000,101,10,5.4,1701,R,RomCom
Home on the Range,2004,76,110,5.4,1510,PG,Animated
Idle Hands,1999,92,20,5.4,5892,R,Comedy
Jeepers Creepers,2001,90,10,5.4,10973,R,Drama
Killing Me Softly,2002,104,25,5.4,1771,R,Drama
"League of Extraordinary Gentlemen, The",2003,110,78,5.4,15647,PG-13,Action
"Man Apart, A",2003,110,36,5.4,4231,R,Action Drama
Message in a Bottle,1999,126,30,5.4,5582,PG-13,Romance Drama
Mickey,2004,90,6,5.4,52,PG,Drama
New Jersey Drive,1995,98,5,5.4,348,R,Drama
Pearl Harbor,2001,184,135.25,5.4,33409,R,Action Drama
Practical Magic,1998,103,60,5.4,7786,PG-13,Romance Drama
Runaway Bride,1999,116,70,5.4,12624,PG,RomCom
Saving Silverman,2001,96,22,5.4,6684,R,RomCom
Skeletons in the Closet,2000,86,1.5,5.4,239,R,Drama
Sol Goode,2001,99,3,5.4,291,R,Comedy
Species,1995,108,35,5.4,8963,R,Action Drama
Stateside,2004,97,16,5.4,247,R,Drama
"Trigger Effect, The",1996,94,8,5.4,1591,R,Action Drama
Van Helsing,2004,132,160,5.4,19787,PG-13,Action
Waterworld,1995,176,175,5.4,19325,PG-13,Action Drama
Wind River,1998,97,5.5,5.4,97,PG-13,Drama
Without a Paddle,2004,95,19,5.4,3605,PG-13,Comedy
World Traveler,2001,103,2,5.4,350,R,Drama
Beautiful,2000,112,9,5.3,991,PG-13,Comedy Drama
"Blood, Guts, Bullets and Octane",1998,87,0.0073,5.3,285,R,Action Comedy
Cotton Mary,1999,124,3.5,5.3,164,R,Drama
Cradle 2 the Grave,2003,101,25,5.3,4164,R,Action
"Crew, The",2000,84,23,5.3,1297,PG-13,Comedy
"Crocodile Hunter: Collision Course, The",2002,90,13,5.3,1648,PG,Comedy
Deuces Wild,2002,100,10,5.3,1511,R,Action Drama
Double Tap,1997,87,8,5.3,184,R,Action
Drumline,2002,118,20,5.3,7368,PG-13,RomCom
End of Days,1999,121,83,5.3,18237,R,Action
Exit Wounds,2001,101,33,5.3,5370,R,Action
"Guy Thing, A",2003,101,20,5.3,2885,PG-13,RomCom
Hav Plenty,1997,84,0.65,5.3,256,R,Comedy
"Hollywood Sign, The",2001,90,12,5.3,196,R,Comedy
Hope Floats,1998,114,30,5.3,4382,PG-13,RomCom
I Spy,2002,97,70,5.3,5521,PG-13,Action Comedy
"Juror, The",1996,118,44,5.3,2920,R,Drama
Kimberly,1999,106,2,5.3,231,R,RomCom
"Last Time I Committed Suicide, The",1997,92,4,5.3,530,R,Drama
"Loss of Sexual Innocence, The",1999,106,4,5.3,977,R,Drama
Love Stinks,1999,94,4,5.3,1311,R,Comedy
Lover Girl,1997,87,1,5.3,102,R,Comedy Drama
Max Keeble's Big Move,2001,86,12,5.3,587,PG,Comedy
Original Gangstas,1996,99,4.8,5.3,216,R,Drama
Pavilion of Women,2001,111,5,5.3,209,R,Drama
Possums,1998,97,1.4,5.3,66,PG,Comedy Drama
"R.M., The",2003,101,0.5,5.3,213,PG,Comedy
Red Planet,2000,106,75,5.3,8623,PG-13,Action
Scary Movie 3,2003,84,45,5.3,9225,PG-13,Comedy
"Scorpion King, The",2002,92,60,5.3,10111,PG-13,Action
"Serpent's Kiss, The",1997,104,13,5.3,368,R,Drama
"Singing Detective, The",2003,109,10,5.3,1184,R,Comedy Drama
"Skulls, The",2000,106,15,5.3,6530,PG-13,Drama
Speedway Junky,1999,105,1,5.3,469,R,Drama
"Stepford Wives, The",2004,93,90,5.3,7773,PG-13,Comedy Drama
Sugar & Spice,2001,84,11,5.3,2901,PG-13,Comedy
Urban Ghost Story,1998,82,0.3,5.3,167,R,Drama
"Very Brady Sequel, A",1996,90,15,5.3,2183,PG-13,Comedy
Virtuosity,1995,106,30,5.3,4183,R,Action
Welcome to Mooseport,2004,117,26,5.3,2356,PG-13,Comedy
Woman on Top,2000,92,8,5.3,2094,R,RomCom
Black and White,1999,98,10,5.2,1699,R,Drama
Bride of Chucky,1998,89,25,5.2,4449,R,Comedy
Bride of the Wind,2001,99,12,5.2,201,R,Drama
Bulletproof Monk,2003,104,52,5.2,5405,PG-13,Action Comedy
"Climb, The",2002,98,2.5,5.2,83,PG,Action Drama
Club Dread,2004,119,9,5.2,3432,R,Comedy
Collateral Damage,2002,108,85,5.2,8590,R,Action
Committed,2000,98,3,5.2,739,R,Comedy Drama
Elvira's Haunted Hills,2001,90,1.5,5.2,307,PG-13,Comedy
Final,2001,111,0.08,5.2,330,R,Drama
Hardware,1990,93,1.5,5.2,1323,R,Action
Hide and Seek,2005,101,30,5.2,3784,R,Drama
Hollywood Homicide,2003,116,75,5.2,5312,PG-13,Action Comedy
I Dreamed of Africa,2000,114,34,5.2,1113,PG-13,Drama
Jack,1996,113,45,5.2,5256,PG-13,Comedy Drama
Jackpot,2001,97,0.4,5.2,213,R,Comedy Drama
Josie and the Pussycats,2001,98,22,5.2,4508,PG-13,Comedy
Lake Placid,1999,82,27,5.2,7836,R,Action Comedy
Lara Croft Tomb Raider: The Cradle of Life,2003,117,90,5.2,9103,PG-13,Action
Lara Croft: Tomb Raider,2001,100,80,5.2,21861,PG-13,Action
"Learning Curve, The",2001,113,1,5.2,177,R,Drama
"Love Letter, The",1999,88,15,5.2,1258,PG-13,Comedy Drama
Man of the House,2005,97,40,5.2,511,PG-13,Action Comedy
Metro,1997,117,55,5.2,3560,R,Action Comedy
"Mystic Masseur, The",2001,117,2.5,5.2,157,PG,Drama
"New Guy, The",2002,89,13,5.2,4266,PG-13,Comedy
Next Friday,2000,98,9.5,5.2,3457,R,Comedy
Not Another Teen Movie,2001,89,16,5.2,10295,R,Comedy
Out Cold,2001,92,11,5.2,1990,PG-13,Comedy
Soldier,1998,98,75,5.2,5590,R,Action
Space Jam,1996,87,80,5.2,7995,PG,Animated
Ted Bundy,2002,99,1.2,5.2,852,R,Drama
Volcano,1997,104,90,5.2,8627,PG-13,Action Drama
"Wedding Party, The",1969,92,0.043,5.2,94,R,Comedy
Whatever It Takes,2000,94,15,5.2,1771,PG-13,RomCom
2 Fast 2 Furious,2003,107,76,5.1,9556,PG-13,Action
Break Up,1998,100,9,5.1,393,R,Drama
Bubble Boy,2001,84,13,5.1,2904,PG-13,RomCom
Chain Reaction,1996,106,55,5.1,5936,PG-13,Action Drama
Country of My Skull,2004,104,12,5.1,194,R,Drama
Cutaway,2000,104,9,5.1,390,R,Action
Cutthroat Island,1995,119,92,5.1,3942,PG-13,Action
Delivered,1998,93,1,5.1,73,R,Comedy Drama
Dill Scallion,1999,91,0.5,5.1,136,PG-13,Comedy
Down to Earth,2001,87,30,5.1,3720,PG-13,RomCom
Dr. Dolittle 2,2001,87,72,5.1,4920,PG,Comedy
Drive Me Crazy,1999,91,8,5.1,2934,PG-13,RomCom
Heavy Metal 2000,2000,88,15,5.1,1148,R,Animated
Joe Dirt,2001,91,16,5.1,5514,PG-13,RomCom
Kung Pow: Enter the Fist,2002,82,10,5.1,5871,PG-13,Action Comedy
Loser,2000,92,20,5.1,5152,PG-13,RomCom
Money Train,1995,103,68,5.1,5081,R,Action Comedy
One Eyed King,2001,105,6.5,5.1,81,R,Drama
Play It to the Bone,1999,124,24,5.1,2645,R,Comedy Drama
Riders,2002,83,15,5.1,922,R,Action
Seed of Chucky,2004,87,12,5.1,1342,R,Comedy
Sgt. Bilko,1996,93,39,5.1,3712,PG,Comedy
Snow Dogs,2002,99,35,5.1,2379,PG,Comedy
Sorority Boys,2002,93,12,5.1,2398,R,Comedy
Tales from the Hood,1995,98,6,5.1,548,R,Action
Texas Rangers,2001,86,38,5.1,945,PG-13,Drama
Thir13en Ghosts,2001,87,20,5.1,8292,R,Comedy
"Tuxedo, The",2002,98,60,5.1,6070,PG-13,Action Comedy
Waiting to Exhale,1995,127,15,5.1,1611,R,Comedy Drama
All the Queen's Men,2001,105,25,5,353,PG-13,Action Comedy
"American Werewolf in Paris, An",1997,105,22,5,4302,R,RomCom
"Bachelor, The",1999,101,21,5,4183,PG-13,RomCom
Bogus,1996,110,32,5,1007,PG,Comedy Drama
Charlie,2004,94,5,5,141,R,Drama
Charlie's Angels: Full Throttle,2003,107,120,5,13990,PG-13,Action Comedy
Chill Factor,1999,101,34,5,2542,R,Action Comedy
Daddy and Them,2001,101,4,5,364,R,Comedy Drama
"Day Without a Mexican, A",2004,100,1.5,5,561,R,Comedy Drama
"Different Loyalty, A",2004,96,13,5,135,R,Romance Drama
Dominion,1995,95,1.3,5,85,R,Drama
Exorcist: The Beginning,2004,114,30,5,4130,R,Action
"First Love, Last Rites",1997,94,0.3,5,147,R,Romance Drama
Full Frontal,2002,101,2,5,3056,R,RomCom
Girl 6,1996,108,12,5,1453,R,Comedy Drama
Gravesend,1997,85,0.065,5,111,R,Drama
"Haunted Mansion, The",2003,87,90,5,3341,PG,Comedy
How Stella Got Her Groove Back,1998,124,20,5,1475,R,Romance Drama
Joe's Apartment,1996,80,13,5,2169,PG-13,Comedy
"Last Resort, The",1997,86,5,5,62,PG-13,Action
"Lizzie McGuire Movie, The",2003,94,17,5,2541,PG,Comedy
Lucky Numbers,2000,105,65,5,2396,R,Comedy
Mortal Kombat,1995,101,20,5,8779,PG-13,Action
"Out-of-Towners, The",1999,90,40,5,2919,PG-13,Comedy
"Phantom, The",1996,100,45,5,3329,PG,Action
Search and Destroy,1995,90,4,5,402,R,Comedy Drama
See Spot Run,2001,94,16,5,1193,PG,Comedy
"Simple Wish, A",1997,89,28,5,423,PG,Comedy
Teaching Mrs. Tingle,1999,96,13,5,5244,PG-13,Comedy
"Wedding Date, The",2005,90,15,5,953,PG-13,RomCom
What's the Worst That Could Happen?,2001,97,45,5,2531,PG-13,Comedy
Ace Ventura: When Nature Calls,1995,90,30,4.9,15161,PG-13,Comedy
Boys and Girls,2000,94,16,4.9,3483,PG-13,RomCom
Cherry Falls,2000,92,14,4.9,2165,R,Comedy
"Cinderella Story, A",2004,95,20,4.9,2755,PG,RomCom
"Crow: Salvation, The",2000,102,25,4.9,1383,R,Action Drama
Eddie,1996,100,30,4.9,1348,PG-13,Comedy
Elektra,2005,96,43,4.9,5120,PG-13,Action
Enough,2002,115,38,4.9,4339,PG-13,Drama
Friday After Next,2002,85,20,4.9,1659,R,Comedy
Gloria,1999,108,30,4.9,1144,R,Drama
Harvard Man,2001,99,5.5,4.9,1157,R,Romance Drama
Head Over Heels,2001,86,14,4.9,2632,PG-13,RomCom
Holy Man,1998,114,60,4.9,3497,PG,Comedy Drama
Home Fries,1998,91,15,4.9,2374,PG-13,RomCom
How High,2001,95,12,4.9,2916,R,Comedy
Like Mike,2002,99,30,4.9,1484,PG,Comedy
Little Nicky,2000,90,80,4.9,9485,PG-13,RomCom
Malibu's Most Wanted,2003,86,16,4.9,2099,PG-13,Comedy
"Pacifier, The",2005,95,56,4.9,2179,PG,Action Comedy
"Red Baron, The",1971,97,0.9,4.9,120,PG-13,Action Drama
"Shrink Is In, The",2001,87,6,4.9,319,R,RomCom
Soho Square,2000,79,0.007,4.9,45,R,Drama
Under Siege 2: Dark Territory,1995,99,60,4.9,5551,R,Action Drama
"Wedding Planner, The",2001,103,35,4.9,7393,PG-13,RomCom
'Til There Was You,1997,113,23,4.8,799,PG-13,RomCom
"Animal, The",2001,84,22,4.8,5605,R,Comedy
Ciao America,2002,100,5,4.8,27,R,RomCom
Company Man,2000,86,16,4.8,492,PG-13,Comedy
Double Take,2001,91,24,4.8,1503,PG-13,Action Comedy
Dr T and the Women,2000,122,12,4.8,4776,R,RomCom
Escape from L.A.,1996,101,50,4.8,7955,R,Action
Facade,2000,93,6,4.8,93,R,Action
Garfield,2004,80,50,4.8,4775,PG,Animated
Going Greek,2001,90,0.198,4.8,261,R,Comedy
Here on Earth,2000,93,15,4.8,2187,PG-13,Romance Drama
Hey Arnold! The Movie,2002,76,10,4.8,425,PG,Animated
In the Shadows,2001,105,10,4.8,268,R,Drama
Isn't She Great,2000,95,36,4.8,688,R,RomCom
Jade,1995,107,50,4.8,2380,R,Action Drama
On the Border,1998,103,3,4.8,165,R,Drama
Random Hearts,1999,133,64,4.8,5919,R,Romance Drama
Rugrats Go Wild!,2003,81,25,4.8,423,PG,Animated
Scooby-Doo,2002,86,84,4.8,9618,PG,Comedy
Screwed,2000,78,10,4.8,1592,PG-13,Comedy
Solitaire for 2,1995,106,1.5,4.8,122,R,RomCom
Spanish Judges,1999,98,3.5,4.8,178,R,Drama
Trois 3: The Escort,2004,95,1,4.8,38,R,Drama
Unstoppable,2004,96,15,4.8,579,R,Action Comedy
"Whole Ten Yards, The",2004,98,40,4.8,4133,PG-13,Comedy
Abandon,2002,99,25,4.7,2364,PG-13,Drama
Air Bud,1997,98,3,4.7,1276,PG,Comedy Drama
Autumn in New York,2000,103,40,4.7,3731,PG-13,Romance Drama
"Big Bounce, The",2004,88,50,4.7,2505,PG-13,Comedy
Big Momma's House,2000,98,30,4.7,7509,PG-13,Comedy
"Breed, The",2001,91,4,4.7,582,R,Action
Crocodile Dundee in Los Angeles,2001,92,25,4.7,2698,PG,Comedy Drama
D-Tox,2002,92,55,4.7,2742,R,Drama
Down to You,2000,91,9,4.7,3232,PG-13,RomCom
Fathers' Day,1997,98,85,4.7,2714,PG-13,Comedy
Free Money,1998,91,30,4.7,619,R,Comedy
Get Carter,2000,104,40,4.7,4927,R,Action Drama
Good Boy!,2003,88,18,4.7,683,PG,Comedy Drama
"Greenskeeper, The",2002,90,0.08,4.7,38,R,Comedy
Jingle All the Way,1996,88,60,4.7,6246,PG,Action Comedy
Little Black Book,2004,111,35,4.7,1894,PG-13,RomCom
Lost in Space,1998,130,80,4.7,15209,PG-13,Action
Monkeybone,2001,92,75,4.7,3112,PG-13,Animated
Monsoon Wife,2004,92,1,4.7,15,R,Drama
"Next Best Thing, The",2000,108,25,4.7,3131,PG-13,Comedy Drama
Out-of-Sync,1995,105,1.5,4.7,37,R,Drama
P.S. Your Cat Is Dead,2002,88,2,4.7,185,R,Comedy
Raising the Stakes,1999,88,0.1,4.7,24,R,Romance Drama
Silent Trigger,1996,90,15,4.7,432,R,Action Drama
Simply Irresistible,1999,94,6,4.7,3083,PG-13,RomCom
Slackers,2002,86,11,4.7,2755,R,Comedy
Slap Her... She's French,2002,92,10,4.7,811,PG-13,Comedy
Spy Kids 3-D: Game Over,2003,84,39,4.7,2597,PG,Action Comedy
Stealing Harvard,2002,82,25,4.7,2547,PG-13,Comedy Drama
